Date,Zone_1_field1_ET,Zone_1_field1_rainfall,Zone_2_field1_ET,Zone_2_field1_rainfall,Zone_3_field1_ET,Zone_3_field1_rainfall,Zone_4_field1_ET,Zone_4_field1_rainfall,Zone_5_field1_ET,Zone_5_field1_rainfall,Zone_6_field1_ET,Zone_6_field1_rainfall,Zone_7_field1_ET,Zone_7_field1_rainfall,Zone_8_field1_ET,Zone_8_field1_rainfall,Zone_9_field1_ET,Zone_9_field1_rainfall,Zone_10_field1_ET,Zone_10_field1_rainfall,Zone_11_field1_ET,Zone_11_field1_rainfall,Zone_12_field1_ET,Zone_12_field1_rainfall
1981-01-31,6.561340078,6.45E-06,6.551599979,5.68E-06,6.862652975,2.94E-06,6.845549822,4.71E-06,6.910133362,7.91E-06,6.913199902,7.97E-06,6.95449996,4.65E-06,6.922933261,8.62E-06,6.927449942,9.40E-06,6.89876845,5.64E-06,6.830500126,2.89E-06,6.980729961,1.24E-06
1981-02-01,6.872380034,2.98E-09,6.872340012,2.13E-09,6.940076491,1.33E-10,6.9214499,1.98E-10,6.940433343,7.54E-11,6.949999809,8.55E-11,6.964649995,2.19E-11,6.970333338,4.33E-11,6.949500084,4.92E-11,6.985873699,5.47E-11,7.013100147,2.61E-11,6.979630041,5.39E-12
1981-02-02,7.007540035,1.08E-09,7.004699993,7.11E-10,7.069411727,3.97E-11,7.051949978,7.25E-11,7.061033249,2.29E-11,7.049799919,2.76E-11,7.112666686,4.23E-12,7.091299931,8.79E-12,7.081449986,1.19E-11,7.084299941,8.94E-12,7.111199856,4.18E-12,7.114330006,9.61E-13
1981-02-03,7.046393299,0.272802072,7.038479996,0.239939767,7.126935314,0.025495562,7.076850176,0,7.118433475,0,7.106299877,0,7.170966784,0,7.149049997,0,7.138800144,0,7.144031575,0,7.16960001,0,7.199379969,0
1981-02-04,5.724160004,0.00131472,5.740879917,0.001109324,5.921011784,8.01E-06,5.922650099,0,5.96329991,0,5.984000206,0,6.073283354,0,6.145666679,0,6.062000036,0,6.17252636,0,6.202600002,0,6.112069988,0
1981-02-05,4.598146661,3.058359281,4.619659996,2.848828888,4.605823517,1.242384967,4.598549843,0.932830781,4.57916673,0.9358175,4.569499969,0.885267079,4.582449992,1.205118875,4.509266615,1.358160635,4.569200039,1.180688679,4.396284154,1.488710253,4.403100014,1.573545456,4.497260046,1.319859254
1981-02-06,5.821206665,0,5.824740028,0,5.91328231,0.087170518,5.942100048,0.003920901,5.832899888,0.014926484,5.824399948,0,5.870033344,0.838188613,5.895150105,0.23667123,5.890899897,0.054168072,5.884263189,0.700039565,5.932799816,0.789882839,5.922800064,1.893212283
1981-02-07,5.891053359,0,5.918459892,0,6.029229417,0,6.035449982,0,6.034366608,0,6.033800125,0,6.032866716,0,5.977766593,0.040257686,6.033500195,0.001379208,6.001963113,0.143246063,5.866399765,0.107124195,6.047040033,0.000244692
1981-02-08,6.345399984,0.172473876,6.353180027,0.17122485,6.574382333,0.157587555,6.538249969,0.020144803,6.555866718,0.00062183,6.584799767,0,6.616900047,0.00764382,6.599133333,0,6.576600075,0,6.591115751,0,6.648799896,0,6.625539923,0.022329738
1981-02-09,6.462046687,0.000120133,6.457719994,9.65E-05,6.439782367,0.00024501,6.363950014,0,6.407633464,0,6.429200172,0,6.372850021,0.045998562,6.276283344,0.005407411,6.347749949,0,6.280000034,0.059215137,6.231299877,0.051014852,6.373739958,0.211768379
1981-02-10,4.237400023,0.000334459,4.235619926,0.000317917,4.157241204,0.000286759,4.18655014,0.000484618,4.045066516,0.000420193,4.052999973,0.000457864,4.039550066,0.000229689,4.026866674,0.000343194,4.027400017,0.000373856,3.977468415,0.000352556,4.025899887,0.000356844,4.054289913,0.000139401
1981-02-11,5.760586675,0.000467261,5.776319981,0.000505276,5.906817605,0.000251695,5.910749912,0.000158419,5.888500055,0.000161324,5.934599876,0.000165384,5.951049964,0.000139976,5.846983274,0.000149,5.806950092,0.000154093,5.864210606,0.000157958,5.844200134,0.000159777,5.96621995,0.000118195
1981-02-12,5.460740026,0.015505386,5.453759956,0.013853935,5.366723594,0.000746145,5.261800051,0,5.256233215,0,5.245500088,0,5.313683271,0,5.236533244,0,5.245349884,0,5.243026332,0,5.214399815,0,5.421479988,0.002040464
1981-02-13,6.956606706,0,6.952320004,0,6.987547089,0,6.915549994,0,6.920100053,0,6.897500038,0,6.975566626,0,6.928666592,0,6.913899899,0,6.922479002,0,6.928800106,0,6.997599983,1.93E-06
1981-02-14,5.837006632,9.55E-06,5.85846014,8.96E-06,6.135599978,7.38E-06,6.158100128,2.30E-06,6.223200003,3.51E-06,6.156700134,2.97E-06,6.288733323,9.20E-06,6.391616742,7.13E-06,6.320450068,5.08E-06,6.458168431,1.23E-05,6.517099857,1.38E-05,6.357869959,1.94E-05
1981-02-15,7.191346709,2.22E-08,7.200380135,2.07E-08,7.227764663,2.93E-09,7.210500002,3.15E-10,7.188466708,1.21E-10,7.187699795,8.42E-11,7.26516668,6.46E-10,7.209549983,6.60E-11,7.187799931,6.38E-11,7.219652653,9.75E-11,7.254399776,6.62E-11,7.289420033,1.25E-09
1981-02-16,6.890299988,5.13E-07,6.941800117,4.42E-07,7.126894137,4.36E-07,7.108500004,9.36E-07,7.123866717,9.97E-07,7.123400211,1.07E-06,7.198533297,4.09E-07,7.178249915,8.05E-07,7.17320013,9.01E-07,7.184205306,8.10E-07,7.221899986,5.48E-07,7.221190071,1.56E-07
1981-02-17,6.285733318,5.78E-05,6.265240002,6.42E-05,6.386382327,3.44E-05,6.305250168,2.49E-05,6.350166639,2.60E-05,6.337800026,2.71E-05,6.401733398,2.11E-05,6.354916652,2.35E-05,6.337800026,2.46E-05,6.381205258,2.45E-05,6.371600151,2.59E-05,6.504360056,1.75E-05
1981-02-18,5.239039961,2.81E-05,5.231700039,2.73E-05,5.251747131,9.82E-06,5.278399944,1.81E-05,5.161233266,0,5.151599884,0,5.182216644,1.77E-05,5.108500083,9.92E-07,5.122950077,0,5.075031582,1.42E-05,5.093400002,0,5.177040052,5.06E-05
